ID,Texapon SB 3 KC,Plantapon ACG 50,Plantapon LC 7,Plantacare 818,Plantacare 2000,Dehyton MC,Dehyton PK 45,Dehyton ML,Dehyton AB 30,Plantapon Amino SCG-L,Plantapon Amino KG-L,Dehyquart A-CA,Luviquat Excellence,Dehyquart CC6,Dehyquart CC7 Benz,Salcare Super 7,Arlypon F,Arlypon TT,Stability_Test,Turbidity/NTU,Viscosity_10/cP,Newtonian
254,0.00,0.00,0.00,6.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,2.92,0.00,0.00,0.00,1.42,0.00,TRUE,21,9,TRUE
255,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.77,0.00,10.54,1.44,0.00,0.00,0.00,1.22,0.00,FALSE,NA,NA,NA
256,0.00,0.00,0.00,13.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.41,1.05,0.00,0.00,0.00,2.83,0.00,TRUE,25,340,FALSE
257,0.00,0.00,0.00,10.10,0.00,0.00,0.00,0.00,7.96,0.00,0.00,0.00,2.60,0.00,0.00,0.00,2.16,0.00,FALSE,NA,NA,NA
258,0.00,9.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.88,2.07,0.00,0.00,0.00,1.18,0.00,FALSE,NA,NA,NA
259,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.22,0.00,0.00,8.54,1.54,0.00,0.00,0.00,3.00,0.00,TRUE,19,64,TRUE
260,0.00,0.00,0.00,7.27,8.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.91,0.00,0.00,0.00,5.08,0.00,FALSE,NA,NA,NA
261,0.00,0.00,0.00,0.00,0.00,9.21,0.00,0.00,0.00,0.00,0.00,11.82,1.57,0.00,0.00,0.00,2.76,0.00,FALSE,NA,NA,NA
262,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.78,0.00,0.00,0.00,9.18,1.98,0.00,0.00,0.00,1.97,0.00,FALSE,NA,NA,NA
263,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.56,0.00,0.00,0.00,12.49,1.43,0.00,0.00,0.00,2.53,0.00,FALSE,NA,NA,NA
264,0.00,0.00,0.00,0.00,10.85,0.00,0.00,0.00,0.00,0.00,0.00,12.86,2.64,0.00,0.00,0.00,3.30,0.00,TRUE,24,357,FALSE
265,0.00,0.00,0.00,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.63,2.58,0.00,0.00,0.00,4.40,0.00,FALSE,NA,NA,NA
266,0.00,0.00,0.00,13.32,6.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.23,0.00,0.00,0.00,4.58,0.00,FALSE,NA,NA,NA
267,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.55,0.00,0.00,11.25,0.99,0.00,0.00,0.00,2.43,0.00,TRUE,20,23,TRUE
268,0.00,0.00,0.00,8.51,0.00,0.00,0.00,0.00,11.53,0.00,0.00,0.00,2.25,0.00,0.00,0.00,1.39,0.00,TRUE,31,18,TRUE
269,0.00,0.00,0.00,0.00,9.76,0.00,0.00,0.00,0.00,0.00,0.00,11.42,1.65,0.00,0.00,0.00,4.22,0.00,FALSE,NA,NA,NA
270,0.00,0.00,0.00,0.00,10.84,0.00,0.00,0.00,12.58,0.00,0.00,0.00,1.85,0.00,0.00,0.00,3.75,0.00,FALSE,NA,NA,NA
271,0.00,0.00,0.00,0.00,0.00,11.71,0.00,0.00,0.00,0.00,0.00,12.84,1.01,0.00,0.00,0.00,1.35,0.00,TRUE,28,1030,FALSE
272,0.00,0.00,0.00,0.00,0.00,0.00,7.97,0.00,0.00,0.00,0.00,8.24,1.61,0.00,0.00,0.00,1.55,0.00,TRUE,28,170,FALSE
273,0.00,0.00,0.00,12.07,8.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.90,0.00,0.00,0.00,2.28,0.00,TRUE,25,60,TRUE
274,0.00,0.00,0.00,12.40,0.00,0.00,0.00,0.00,10.55,0.00,0.00,0.00,2.92,0.00,0.00,0.00,3.56,0.00,FALSE,NA,NA,NA
275,0.00,0.00,0.00,9.86,12.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.43,0.00,0.00,0.00,1.77,0.00,TRUE,29,15,TRUE
276,0.00,0.00,0.00,0.00,0.00,0.00,10.33,0.00,0.00,0.00,0.00,9.28,2.26,0.00,0.00,0.00,2.29,0.00,FALSE,NA,NA,NA
277,0.00,0.00,0.00,9.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.54,1.17,0.00,0.00,0.00,1.07,0.00,TRUE,21,5,TRUE
278,0.00,0.00,0.00,14.45,12.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.56,0.00,0.00,0.00,1.15,0.00,TRUE,73,7,TRUE
279,0.00,0.00,0.00,0.00,0.00,0.00,12.05,0.00,10.24,0.00,0.00,0.00,1.18,0.00,0.00,0.00,1.29,0.00,TRUE,29,4,TRUE
280,0.00,0.00,0.00,12.48,12.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.72,0.00,0.00,0.00,1.37,0.00,TRUE,21,8,TRUE
281,0.00,0.00,0.00,0.00,13.57,0.00,0.00,0.00,0.00,0.00,0.00,10.86,1.98,0.00,0.00,0.00,1.43,0.00,TRUE,31,7,TRUE
282,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.23,0.00,0.00,12.60,1.27,0.00,0.00,0.00,1.70,0.00,TRUE,17,3,TRUE
283,0.00,0.00,0.00,11.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.71,1.27,0.00,0.00,0.00,1.74,0.00,TRUE,20,34,TRUE
284,0.00,0.00,0.00,0.00,0.00,0.00,12.36,0.00,12.21,0.00,0.00,0.00,1.75,0.00,0.00,0.00,1.41,0.00,TRUE,19,4,TRUE
285,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,12.79,1.25,0.00,0.00,0.00,1.15,0.00,TRUE,18,6,TRUE
286,0.00,0.00,0.00,0.00,8.69,0.00,0.00,0.00,0.00,0.00,0.00,12.41,1.11,0.00,0.00,0.00,1.28,0.00,TRUE,25,3,TRUE
287,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.66,0.00,0.00,12.08,1.65,0.00,0.00,0.00,1.19,0.00,TRUE,19,2,TRUE
288,0.00,0.00,0.00,0.00,12.72,0.00,0.00,0.00,0.00,0.00,0.00,11.62,1.20,0.00,0.00,0.00,1.61,0.00,TRUE,20,8,TRUE
289,0.00,0.00,0.00,8.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.06,2.07,0.00,0.00,0.00,1.17,0.00,TRUE,23,6,TRUE
290,0.00,0.00,0.00,13.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.44,1.33,0.00,0.00,0.00,1.36,0.00,TRUE,36,30,TRUE
291,0.00,0.00,0.00,13.95,7.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.81,0.00,0.00,0.00,1.15,0.00,TRUE,24,8,TRUE
292,0.00,0.00,0.00,0.00,12.27,0.00,0.00,0.00,0.00,0.00,0.00,10.43,1.55,0.00,0.00,0.00,1.17,0.00,TRUE,23,4,TRUE
293,0.00,0.00,0.00,12.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.95,1.72,0.00,0.00,0.00,1.59,0.00,TRUE,22,25,TRUE
294,0.00,0.00,0.00,0.00,0.00,0.00,12.72,0.00,13.01,0.00,0.00,0.00,1.10,0.00,0.00,0.00,2.09,0.00,TRUE,19,9,TRUE
295,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.39,0.00,0.00,9.58,0.85,0.00,0.00,0.00,1.26,0.00,TRUE,14,2,TRUE
296,0.00,0.00,0.00,0.00,8.39,0.00,0.00,0.00,0.00,0.00,0.00,12.93,1.97,0.00,0.00,0.00,1.18,0.00,TRUE,33,3,TRUE
297,0.00,0.00,0.00,12.16,13.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.12,0.00,0.00,0.00,1.41,0.00,TRUE,24,9,TRUE
298,0.00,0.00,0.00,10.17,12.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.53,0.00,0.00,0.00,1.14,0.00,TRUE,24,6,TRUE
